state,electoral.district,office.name,official.name,address,phone,website,email,party
TX,Austin City Council District 9,City Councilor District 9,Kathie Tovo,"301 W 2nd St  Austin,  78701",512-974-2250,https://www.austintexas.gov/district9,https://www.austintexas.gov/email/kathietovo,
TX,Austin City Council District 8,City Councilor District 8,Ellen Troxclair,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district8,https://www.austintexas.gov/email/district8,
TX,Austin City Council District 5,City Councilor District 5,Ann Kitchen,"301 W. Second St.   Austin,  78701",512-974-2250,https://www.austintexas.gov/district5,https://www.austintexas.gov/email/district5,
TX,Austin City Council District 4,City Councilor District 4,"Gregorio ""Greg"" Casar","301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district4,https://www.austintexas.gov/email/gregcasar,
TX,Austin City Council District 7,City Councilor District 7,Leslie Pool,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district7,https://www.austintexas.gov/email/district7,
TX,Austin City Council District 6,City Councilor District 6,Don Zimmerman,"301 W 2nd St  Austin,  78701",512-974-2250,https://www.austintexas.gov/district6,https://www.austintexas.gov/email/donzimmerman,
TX,Austin City Council District 1,City Councilor District 1,Ora Houston,"301 W 2nd St  Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district1,https://www.austintexas.gov/email/orahouston,
TX,Austin City Council District 3,City Councilor District 3,"Sabino ""Pio"" Renteria","301 W 2nd St  Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district3,https://www.austintexas.gov/email/sabinorenteria,
TX,Austin City Council District 2,City Councilor District 2,Delia Garza,"301 W. Second St.   Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district2,https://www.austintexas.gov/email/district2,
TX,Austin City Council District 10,City Councilor District 10,Sheri Gallo,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district10,https://www.austintexas.gov/email/district10,
TX,Austin,Mayor,Steve Adler,"301 W 2nd St Austin, 78701",512-978-2100,https://www.austintexas.gov/department/mayor,,
NC,Charlotte City Council at large representative,City Council at large representative,Julie Eiselt,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/JulieEiselt.aspx,julie.eiselt@charlottenc.gov,
NC,Charlotte City Council at large representative,City Council at large representative,Claire Green Fallon,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/ClaireFallon.aspx,cfallon@charlottenc.gov ,
NC,Charlotte City Council at large representative,City Council at large representative,James Mitchell Jr.,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/JamesMitchell.aspx,James.Mitchell@charlottenc.gov​,
NC,Charlotte City Council district 1 representative,City Council district 1 representative,Patsy Kinsey,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/PatsyKinsey.aspx,pkinsey@charlottenc.gov,
NC,Charlotte City Council district 2 representative,City Council district 2 representative,"Alvin ""Al"" Austin","600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/Al-Austin.aspx,aaustin@charlottenc.gov,
NC,Charlotte City Council district 3 representative,City Council district 3 representative,LaWana Mayfield,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/District%203%20LaWana%20Mayfield.aspx,lmayfield@charlottenc.gov,
NC,Charlotte City Council district 3 representative,City Council district 3 representative,LaWana Mayfield,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/District%203%20LaWana%20Mayfield.aspx,lmayfield@charlottenc.gov,
NC,Charlotte City Council district 4 representative,City Council district 4 representative,Gregory (Greg) A. Phipps,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/Greg-Phipps.aspx,gaphipps@charlottenc.gov,
NC,Charlotte City Council district 5 representative,City Council district 5 representative,John Autry,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/District%205%20John%20Autry.aspx,jautry@charlottenc.gov,
NC,Charlotte City Council district 6 representative,City Council district 6 representative,Kenny Smith,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/KennySmith.aspx,krsmith@charlottenc.gov ,
NC,Charlotte City Council district 7 representative,City Council district 7 representative,Edmund H. Driggs,"600 E. 4th Street Charlotte, NC 28202",704-336-2241,http://charmeck.org/city/charlotte/CityCouncil/MeettheCouncil/Pages/Ed-Driggs.aspx,edriggs@charlottenc.gov​,
