UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00216,FL,Jacksonville,,FL,Jacksonville City Council District 5,City Council Member District 5,Lori N. Boyer - Council President,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d05.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:5
CIe00222,FL,Jacksonville,,FL,Jacksonville,City Council Member At-Large Group 2,John R. Crescimbeni - Vice President,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/al2.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville
CIe00224,FL,Jacksonville,,FL,Jacksonville,City Council Member At-Large Group 4,Greg Anderson,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/al4.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville
CIe00209,FL,Jacksonville,,FL,Jacksonville City Council District 11,City Council Member d11,Danny Becton,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d11.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:11
CIe00214,FL,Jacksonville,,FL,Jacksonville City Council District 3,City Council Member District 3,Aaron L. Bowman,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d03.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:3
CIe00221,FL,Jacksonville,,FL,Jacksonville,City Council Member At-Large Group 1,Anna Lopez Brosche,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/al1.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville
CIe00219,FL,Jacksonville,,FL,Jacksonville City Council District 8,City Council Member District 8,Katrina Brown,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d08.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:8
CIe00208,FL,Jacksonville,,FL,Jacksonville City Council District 10,City Council Member d10,Reginald L. Brown,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d10.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:10
CIe00210,FL,Jacksonville,,FL,Jacksonville City Council District 12,City Council Member d12,Doyle Carter,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d12.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:12
CIe00220,FL,Jacksonville,,FL,Jacksonville City Council District 9,City Council Member District 9,Garrett L. Dennis,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d09.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:9
CIe00213,FL,Jacksonville,,FL,Jacksonville City Council District 2,City Council Member District 2,Al Ferraro,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d02.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:2
CIe00218,FL,Jacksonville,,FL,Jacksonville City Council District 7,City Council Member District 7,Reggie Gaffney,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d07.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:7
CIe00211,FL,Jacksonville,,FL,Jacksonville City Council District 13,City Council Member d13,Bill Gulliford,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/d13.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville/council_district:13
CIe00223,FL,Jacksonville,,FL,Jacksonville,City Council Member At-Large Group 3,Tommy Hazouri,"117 West Duval St., Suite 425 Jacksonville, FL 32202",,http://www.coj.net/city-council/city-council-members/al3.aspx,,,,ocd-division/country:us/state:fl/place:jacksonville
CIe00226,FL,Jacksonville,,FL,Jacksonville,Mayor,Lenny Curry,"City Hall at St. James Building 117 W. Duval St.  Suite 400 Jacksonville, FL  32202",(904) 630-1776,http://www.coj.net/mayor.aspx,MayorLennyCurry@coj.net,,,ocd-division/country:us/state:fl/place:jacksonville
