UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00573,NY,New York,,NY,New York City Council District 1,Council Member District 1,Margaret S. Chin,,,http://council.nyc.gov/district-1/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:1
CIe00584,NY,New York,,NY,New York City Council District 2,Council Member District 2,Rosie Mendez,,,http://council.nyc.gov/district-2/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:2
CIe00595,NY,New York,,NY,New York City Council District 3,Council Member District 3,Corey Johnson,,,http://council.nyc.gov/district-3/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:3
CIe00606,NY,New York,,NY,New York City Council District 4,Council Member District 4,Daniel R. Garodnick,,,http://council.nyc.gov/district-4/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:4
CIe00617,NY,New York,,NY,New York City Council District 5,Council Member District 5,Ben Kallos,,,http://council.nyc.gov/district-5/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:5
CIe00620,NY,New York,,NY,New York City Council District 6,Council Member District 6,Helen Rosenthal,,,http://council.nyc.gov/district-6/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:6
CIe00621,NY,New York,,NY,New York City Council District 7,Council Member District 7,Mark Levine,,,http://council.nyc.gov/district-7/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:7
CIe00622,NY,New York,,NY,New York City Council District 8,Council Member District 8,Melissa Mark-Viverito,,,http://council.nyc.gov/district-8/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:8
CIe00623,NY,New York,,NY,New York City Council District 9,Council Member District 9,Bill Perkins,,,http://council.nyc.gov/district-9/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:9
CIe00574,NY,New York,,NY,New York City Council District 10,Council Member District 10,Ydanis Rodriguez,,,http://council.nyc.gov/district-10/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:10
CIe00575,NY,New York,,NY,New York City Council District 11,Council Member District 11,Andrew Cohen,,,http://council.nyc.gov/district-11/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:11
CIe00576,NY,New York,,NY,New York City Council District 12,Council Member District 12,Andy King,,,http://council.nyc.gov/district-12/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:12
CIe00577,NY,New York,,NY,New York City Council District 13,Council Member District 13,James Vacca,,,http://council.nyc.gov/district-13/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:13
CIe00578,NY,New York,,NY,New York City Council District 14,Council Member District 14,Fernando Cabrera,,,http://council.nyc.gov/district-14/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:14
CIe00579,NY,New York,,NY,New York City Council District 15,Council Member District 15,Ritchie J. Torres,,,http://council.nyc.gov/district-15/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:15
CIe00580,NY,New York,,NY,New York City Council District 16,Council Member District 16,Vanessa L. Gibson,,,http://council.nyc.gov/district-16/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:16
CIe00581,NY,New York,,NY,New York City Council District 17,Council Member District 17,Rafael Salamanca Jr,,,http://council.nyc.gov/district-17/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:17
CIe00582,NY,New York,,NY,New York City Council District 18,Council Member District 18,Annabel Palma,,,http://council.nyc.gov/district-18/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:18
CIe00583,NY,New York,,NY,New York City Council District 19,Council Member District 19,Paul Vallone,,,http://council.nyc.gov/district-19/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:19
CIe00585,NY,New York,,NY,New York City Council District 20,Council Member District 20,Peter Koo,,,http://council.nyc.gov/district-20/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:20
CIe00586,NY,New York,,NY,New York City Council District 21,Council Member District 21,Julissa Ferreras-Copeland,,,http://council.nyc.gov/district-21/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:21
CIe00587,NY,New York,,NY,New York City Council District 22,Council Member District 22,Costa Constantinides,,,http://council.nyc.gov/district-22/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:22
CIe00588,NY,New York,,NY,New York City Council District 23,Council Member District 23,Barry Grodenchik,,,http://council.nyc.gov/district-23/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:23
CIe00589,NY,New York,,NY,New York City Council District 24,Council Member District 24,Rory I. Lancman,,,http://council.nyc.gov/district-24/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:24
CIe00590,NY,New York,,NY,New York City Council District 25,Council Member District 25,Daniel Dromm,,,http://council.nyc.gov/district-25/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:25
CIe00591,NY,New York,,NY,New York City Council District 26,Council Member District 26,Jimmy Van Bramer,,,http://council.nyc.gov/district-26/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:26
CIe00592,NY,New York,,NY,New York City Council District 27,Council Member District 27,I. Daneek Miller,,,http://council.nyc.gov/district-27/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:27
CIe00593,NY,New York,,NY,New York City Council District 28,Council Member District 28,Ruben Wills,,,http://council.nyc.gov/district-28/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:28
CIe00594,NY,New York,,NY,New York City Council District 29,Council Member District 29,Karen Koslowitz,,,http://council.nyc.gov/district-29/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:29
CIe00596,NY,New York,,NY,New York City Council District 30,Council Member District 30,Elizabeth S. Crowley,,,http://council.nyc.gov/district-30/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:30
CIe00597,NY,New York,,NY,New York City Council District 31,Council Member District 31,Donovan  J. Richards,,,http://council.nyc.gov/district-31/,,,,ocd-division/country:us/state:ny/place:new_york/council_district:31
