UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00740,TN,Memphis,,TN,Memphis City Council District 1,City Council Member District 1,Bill Morrison,,,http://www.memphistn.gov/Government/CityCouncil/District1.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:1
CIe00741,TN,Memphis,,TN,Memphis City Council District 2,City Council Member District 2,Frank Colvett,,,http://www.memphistn.gov/Government/CityCouncil/District2.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:2
CIe00742,TN,Memphis,,TN,Memphis City Council District 3,City Council Member District 3,Patrice J. Robinson,,,http://www.memphistn.gov/Government/CityCouncil/District3.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:3
CIe00743,TN,Memphis,,TN,Memphis City Council District 4,City Council Member District 4,Jamita Swearengen,,,http://www.memphistn.gov/Government/CityCouncil/District4.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:4
CIe00744,TN,Memphis,,TN,Memphis City Council District 5,City Council Member District 5,Worth Morgan,,,http://www.memphistn.gov/Government/CityCouncil/District5.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:5
CIe00745,TN,Memphis,,TN,Memphis City Council District 6,City Council Member District 6,"Edmund Ford, Jr.",,,http://www.memphistn.gov/Government/CityCouncil/District6.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:6
CIe00746,TN,Memphis,,TN,Memphis City Council District 7,City Council Member District 7,Berlin Boyd,,,http://www.memphistn.gov/Government/CityCouncil/District7.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:7
CIe00747,TN,Memphis,,TN,Memphis City Council District 8,City Council Member Super District 8 Position 1,Joe Brown,,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict8/Position1.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:8
CIe00748,TN,Memphis,,TN,Memphis City Council District 8,City Council Member Super District 8 Position 2,Janis Fullilove,,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict8/Position2.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:8
CIe00749,TN,Memphis,,TN,Memphis City Council District 8,City Council Member Super District 8 Position 3,Martavius Jones,,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict8/Position3.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:8
CIe00750,TN,Memphis,,TN,Memphis City Council District 9,City Council Member Super District 9 Position 1,Kemp Conrad,,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict9/Position1.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:9
CIe00751,TN,Memphis,,TN,Memphis City Council District 9,City Council Member Super District 9 Position 2,"Philip Spinosa, Jr.",,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict9/Position2.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:9
CIe00752,TN,Memphis,,TN,Memphis City Council District 9,City Council Member Super District 9 Position 3,Reid Hedgepeth,,,http://www.memphistn.gov/Government/CityCouncil/SuperDistrict9/Position3.aspx,,,,ocd-division/country:us/state:tn/place:memphis/council_district:9
CIe00753,TN,Memphis,,TN,Memphis,Mayor,Jim Strickland,,,,,,,ocd-division/country:us/state:tn/place:memphis
