UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00285,IL,Chicago,Chicago Council,IL,Chicago City Council District 1,Alderman Ward 1,Joe Proco Moreno,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/01.html,ward01@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:1
CIe00296,IL,Chicago,Chicago Council,IL,Chicago City Council District 2,Alderman Ward 2,Brian Hopkins,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/02.html,ward02@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:2
CIe00307,IL,Chicago,Chicago Council,IL,Chicago City Council District 3,Alderman Ward 3,Pat Dowell,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/03.html,ward03@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:3
CIe00318,IL,Chicago,Chicago Council,IL,Chicago City Council District 4,Alderman Ward 4,Sophia King,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/04.html,ward04@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:4
CIe00329,IL,Chicago,Chicago Council,IL,Chicago City Council District 5,Alderman Ward 5,Leslie A. Hairston,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/05.html,ward05@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:5
CIe00331,IL,Chicago,Chicago Council,IL,Chicago City Council District 6,Alderman Ward 6,Roderick Sawyer,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/06.html,ward06@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:6
CIe00332,IL,Chicago,Chicago Council,IL,Chicago City Council District 7,Alderman Ward 7,Gregory I. Mitchell,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/07.html,ward07@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:7
CIe00333,IL,Chicago,Chicago Council,IL,Chicago City Council District 8,Alderman Ward 8,Michelle A. Harris,"121 N. LaSalle Street Chicago, Illinois 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/08.html,ward08@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:8
CIe00334,IL,Chicago,Chicago Council,IL,Chicago City Council District 9,Alderman Ward 9,Anthony Beale,"121 N. La Salle Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/09.html,Ward09@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:9
CIe00286,IL,Chicago,Chicago Council,IL,Chicago City Council District 10,Alderman Ward 10,Susan Sadlowski Garza,"121 N. LaSalle St. Room 200 Chicago, IL 60602",312.744.5000,http://www.cityofchicago.org/city/en/about/wards/10.html,ward10@cityofchicago.org,,,ocd-division/country:us/state:il/place:chicago/ward:10
