UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00873,TX,San Antonio,,TX,San Antonio City Council District 1,City Council Member District 1,Roberto C. Trevino,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7279 ,https://www.sanantonio.gov/council/d1,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:1
CIe00875,TX,San Antonio,,TX,San Antonio City Council District 2,City Council Member District 2,Alan E. Warrick II ,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7278 ,https://www.sanantonio.gov/council/d2,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:2
CIe00876,TX,San Antonio,,TX,San Antonio City Council District 3,City Council Member District 3,Rebecca J. Viagran,"City Hall P.O. Box 839966 San Antonio, TX 78283",210.207.7064,https://www.sanantonio.gov/council/d3,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:3
CIe00877,TX,San Antonio,,TX,San Antonio City Council District 4,City Council Member District 4,Rey A. Saldana,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7281 ,https://www.sanantonio.gov/council/d4,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:4
CIe00878,TX,San Antonio,,TX,San Antonio City Council District 5,City Council Member District 5,Shirley Gonzales,"City Hall Office  P.O. Box 839966  San Antonio, TX 78283",210.207.7043 ,https://www.sanantonio.gov/council/d5,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:5
CIe00879,TX,San Antonio,,TX,San Antonio City Council District 6,City Council Member District 6,Ray Lopez,"City Hall Office  P.O. Box 839966  San Antonio, TX 78283",210.207.7065 ,https://www.sanantonio.gov/council/d6,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:6
CIe00880,TX,San Antonio,,TX,San Antonio City Council District 7,City Council Member District 7,Cris Medina,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7044 ,https://www.sanantonio.gov/council/d7,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:7
CIe00881,TX,San Antonio,,TX,San Antonio City Council District 8,City Council Member District 8,Ron Nirenberg,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7086 ,https://www.sanantonio.gov/council/d8,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:8
CIe00882,TX,San Antonio,,TX,San Antonio City Council District 9,City Council Member District 9,Joe Krier,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7325 ,https://www.sanantonio.gov/council/d9,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:9
CIe00874,TX,San Antonio,,TX,San Antonio City Council District 10,City Council Member District 10,Mike Gallagher,"City Hall  P.O. Box 839966  San Antonio, TX 78283",210.207.7276 ,https://www.sanantonio.gov/council/d10,,,,ocd-division/country:us/state:tx/place:san_antonio/council_district:10
CIe00872,TX,San Antonio,,TX,San Antonio,Mayor,Ivy R. Taylor,"City Hall 100 Military Plaza San Antonio, TX 78205",210.207.7083,https://www.sanantonio.gov/mayor,Mayor.IvyTaylor@sanantonio.gov,,,ocd-division/country:us/state:tx/place:san_antonio
