UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe00132,CA,San Jose,,CA,San Jose City Council District 1,City Councilmember District 1,"Charles ""Chappie"" Jones","200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district1@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:1
CIe00134,CA,San Jose,,CA,San Jose City Council District 2,City Councilmember District 2,Sergio Jimenez,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district2@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:2
CIe00135,CA,San Jose,,CA,San Jose City Council District 3,City Councilmember District 3,Raul Peralez,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district3@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:3
CIe00136,CA,San Jose,,CA,San Jose City Council District 4,City Councilmember District 4,Lan Diep,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district4@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:4
CIe00137,CA,San Jose,,CA,San Jose City Council District 5,City Councilmember District 5,Magdalena Carrasco,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district5@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:5
CIe00138,CA,San Jose,,CA,San Jose City Council District 6,City Councilmember District 6,"Devora ""Dev"" Davis","200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district6@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:6
CIe00139,CA,San Jose,,CA,San Jose City Council District 7,City Councilmember District 7,Tam Nguyen,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district7@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:7
CIe00140,CA,San Jose,,CA,San Jose City Council District 8,City Councilmember District 8,Sylvia Arenas,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district8@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:8
CIe00141,CA,San Jose,,CA,San Jose City Council District 9,City Councilmember District 9,Donald Rocha,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district9@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:9
CIe00133,CA,San Jose,,CA,San Jose City Council District 10,City Councilmember District 10,Johnny Khamis,"200 E. Santa Clara St. San Jose, CA 95113",,http://www.sanjoseca.gov/council,district10@sanjoseca.gov,,,ocd-division/country:us/state:ca/place:san_jose/council_district:10
CIe00142,CA,San Jose,,CA,San Jose,Mayor,Sam Liccardo,"200 E. Santa Clara St. San Jose, CA 95113",408 535-3500 Main,http://www.sanjoseca.gov/mayor,,,,ocd-division/country:us/state:ca/place:san_jose
