UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
,MI,Detroit,,MI,Detroit,City Council At-Large,Brenda Jones,,,http://www.detroitmi.gov/Government/City-Council/Brenda-Jones,,,,ocd-division/country:us/state:mi/place:detroit
,MI,Detroit,,MI,Detroit,City Council At-Large,Janee L Ayers,,,http://www.detroitmi.gov/Government/City-Council/Janee-L-Ayers,,,,ocd-division/country:us/state:mi/place:detroit
CIe00407,MI,Detroit,,MI,Detroit City Council District 1,City Council District 1,James Tate,,,http://www.detroitmi.gov/Government/City-Council/James-Tate,,,,ocd-division/country:us/state:mi/place:detroit/council_district:1
CIe00408,MI,Detroit,,MI,Detroit City Council District 2,City Council District 2,George Cushingberry Jr.,,,http://www.detroitmi.gov/Government/City-Council/George-Cushingberry,,,,ocd-division/country:us/state:mi/place:detroit/council_district:2
CIe00409,MI,Detroit,,MI,Detroit City Council District 3,City Council District 3,Scott Benson,,,http://www.detroitmi.gov/Government/City-Council/Scott-Benson,,,,ocd-division/country:us/state:mi/place:detroit/council_district:3
CIe00410,MI,Detroit,,MI,Detroit City Council District 4,City Council District 4,Andre L. Spivey,,,http://www.detroitmi.gov/Government/City-Council/Andre-Spivey,,,,ocd-division/country:us/state:mi/place:detroit/council_district:4
CIe00986,MI,Detroit,,MI,Detroit City Council District 5,City Council District 5,Mary Sheffield,,,http://www.detroitmi.gov/Government/City-Council/Mary-Sheffield,,,,ocd-division/country:us/state:mi/place:detroit/council_district:5
CIe00984,MI,Detroit,,MI,Detroit City Council District 6,City Council District 6,Raquel Castaneda-Lopez,,,http://www.detroitmi.gov/Government/City-Council/Raquel-Castaneda-Lopez,,,,ocd-division/country:us/state:mi/place:detroit/council_district:6
CIe00985,MI,Detroit,,MI,Detroit City Council District 7,City Council District 7,Gabe Leland,,,http://www.detroitmi.gov/Government/City-Council/Gabe-Leland,,,,ocd-division/country:us/state:mi/place:detroit/council_district:7
CIe00413,MI,Detroit,,MI,Detroit,Mayor,Mike Duggan,,,http://www.detroitmi.gov/Government/Mayors-Office/,,,,ocd-division/country:us/state:mi/place:detroit
