UID,state,body represents - muni,Body Name,state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter,OCDID
CIe91020,TX,Austin,Austin Council,TX,Austin City Council District 9,City Councilor District 9,Kathie Tovo,"301 W 2nd St  Austin,  78701",512-974-2250,https://www.austintexas.gov/district9,https://www.austintexas.gov/email/kathietovo,,,ocd-division/country:us/state:tx/place:austin/council_district:9
CIe91019,TX,Austin,Austin Council,TX,Austin City Council District 8,City Councilor District 8,Ellen Troxclair,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district8,https://www.austintexas.gov/email/district8,,,ocd-division/country:us/state:tx/place:austin/council_district:8
CIe00810,TX,Austin,Austin Council,TX,Austin City Council District 5,City Councilor District 5,Ann Kitchen,"301 W. Second St.   Austin,  78701",512-974-2250,https://www.austintexas.gov/district5,https://www.austintexas.gov/email/district5,,,ocd-division/country:us/state:tx/place:austin/council_district:5
CIe00809,TX,Austin,Austin Council,TX,Austin City Council District 4,City Councilor District 4,"Gregorio ""Greg"" Casar","301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district4,https://www.austintexas.gov/email/District4,,,ocd-division/country:us/state:tx/place:austin/council_district:4
CIe91018,TX,Austin,Austin Council,TX,Austin City Council District 7,City Councilor District 7,Leslie Pool,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district7,https://www.austintexas.gov/email/district7,,,ocd-division/country:us/state:tx/place:austin/council_district:7
CIe00811,TX,Austin,Austin Council,TX,Austin City Council District 6,City Councilor District 6,Jimmy Flannigan,"301 W 2nd St  Austin,  78701",512-974-2250,https://www.austintexas.gov/district6,https://www.austintexas.gov/email/district6,,,ocd-division/country:us/state:tx/place:austin/council_district:6
CIe00806,TX,Austin,Austin Council,TX,Austin City Council District 1,City Councilor District 1,Ora Houston,"301 W 2nd St  Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district1,https://www.austintexas.gov/email/orahouston,,,ocd-division/country:us/state:tx/place:austin/council_district:1
CIe00808,TX,Austin,Austin Council,TX,Austin City Council District 3,City Councilor District 3,"Sabino ""Pio"" Renteria","301 W 2nd St  Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district3,https://www.austintexas.gov/email/sabinorenteria,,,ocd-division/country:us/state:tx/place:austin/council_district:3
CIe00807,TX,Austin,Austin Council,TX,Austin City Council District 2,City Councilor District 2,Delia Garza,"301 W. Second St.   Austin, Texas 78701",512-974-2250,https://www.austintexas.gov/district2,https://www.austintexas.gov/email/district2,,,ocd-division/country:us/state:tx/place:austin/council_district:2
CIe91021,TX,Austin,Austin Council,TX,Austin City Council District 10,City Councilor District 10,Alison Alter,"301 W 2nd St  Austin, TX 78701",512-974-2250,https://www.austintexas.gov/district10,https://www.austintexas.gov/email/district10,,,ocd-division/country:us/state:tx/place:austin/council_district:10
CIe00805,TX,Austin,Austin Board Of Directors,TX,Austin,Mayor,Steve Adler,"301 W 2nd St Austin, 78701",512-978-2100,https://www.austintexas.gov/department/mayor,,,,ocd-division/country:us/state:tx/place:austin
